Seller_Email,Listing_ID,Category,Title,Product_Name,Product_Description,Price,Quantity
gescalanteg4@nsu.edu,1056,Clothing,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,$40 ,2
oflahiveif@nsu.edu,1227,Clothing,skinny,Skinny High Jeans,Men's Jeans,$30 ,4
cdullardbp@nsu.edu,1254,Clothing,skinny,Skinny High Jeans,Men's Jeans,$30 ,4
tlinebargerh@flickr.com,1329,Clothing,skinny,Skinny High Jeans,Men's Jeans,$30 ,2
wfranzenct@nsu.edu,1338,Clothing,skinny,Skinny High Jeans,Men's Jeans,$30 ,2
rdichee@adobe.com,1371,Clothing,skinny,Skinny High Jeans,Men's Jeans,$30 ,2
dnaughton9f@nsu.edu,1386,Clothing,skinny,Skinny High Jeans,Men's Jeans,$30 ,1
wlaurancegt@nsu.edu,1613,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
ghalvorsen95@nsu.edu,1633,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,1
predittjv@nsu.edu,1641,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,2
wspadelli8j@nsu.edu,1657,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
bdeavenell7o@nsu.edu,1701,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,1
bbartkowiak6t@nsu.edu,1713,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
bspottiswoodhm@nsu.edu,1745,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
gmosconegr@nsu.edu,1749,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,1
asimonsen7z@nsu.edu,1769,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,1
lsekulla8w@nsu.edu,1789,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,1
ihannondki@nsu.edu,1825,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
rscampm5@nsu.edu,1837,Clothing,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,4
selliker1v@ibm.com,1857,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,3
jboultwoodre@nsu.edu,1941,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
pkirklandrq@nsu.edu,1949,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
rkorneichikbg@nsu.edu,1953,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
kperle7k@nsu.edu,1961,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
cpaulone4@nsu.edu,1965,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
feeles4r@nsu.edu,1977,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,2
bmalbonee@nsu.edu,2001,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
jgarrood8v@nsu.edu,2057,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
gescalanteg4@nsu.edu,2065,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,3
vrissonh@nsu.edu,2113,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
ebullardig@nsu.edu,2133,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,3
dgurge15@jimdo.com,2137,Clothing,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,1
pboundey37@nsu.edu,2341,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
gpendry79@nsu.edu,2385,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
tlinebargerh@flickr.com,2425,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,1
gcordall73@nsu.edu,2593,Clothing,leather,Ankle-length Leather Pants,Leather pants,$30 ,4
gdowtry4j@nsu.edu,753,Cookies & Brownies,Marketside Bite Sized White Chocolate Macadamia Nut Cookies,Mac Nut Cookies,Delish Cookies,$5 ,4
gdowtry4j@nsu.edu,2521,Cookies & Brownies,Marketside Bite Sized White Chocolate Macadamia Nut Cookies,Mac Nut Cookies,Delish Cookies,$5 ,4
ndutchburnel@nsu.edu,317,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,5
wspadelli8j@nsu.edu,29,Cooking Accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
jspraggon8f@nsu.edu,76,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
spinwillhg@nsu.edu,45,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
ofumagalliqv@nsu.edu,193,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
wsemechikci@nsu.edu,112,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
rstanwixm3@nsu.edu,145,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,0
rgoulbornegn@nsu.edu,499,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
fthunder1p@webs.com,119,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,5
itompkinson28@pcworld.com,373,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
dairthno@nsu.edu,319,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,0
hbintonme@nsu.edu,136,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,0
ndutchburnel@nsu.edu,1609,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,5
wspadelli8j@nsu.edu,1653,Cooking Accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
jspraggon8f@nsu.edu,1669,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
spinwillhg@nsu.edu,1677,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
ofumagalliqv@nsu.edu,1805,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
wsemechikci@nsu.edu,1809,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
rstanwixm3@nsu.edu,1861,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,3
rgoulbornegn@nsu.edu,1909,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
fthunder1p@webs.com,2077,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,5
itompkinson28@pcworld.com,2105,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
dairthno@nsu.edu,2257,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,3
hbintonme@nsu.edu,2413,Cooking Accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,3
ghalvorsen95@nsu.edu,732,Dog Wet Food,Blue Buffalo Tastefuls Salmon Pate Wet Cat Food for Adult Cats,BB TSP Wet Cat Food,Healthy and Yummy,$59 ,3
ghalvorsen95@nsu.edu,2493,Dog Wet Food,Blue Buffalo Tastefuls Salmon Pate Wet Cat Food for Adult Cats,BB TSP Wet Cat Food,Healthy and Yummy,$59 ,3
wspadelli8j@nsu.edu,750,Electric,GlareWheel EB-NTEC1 Green Commuting Electric Bike/Scooter,GW Electric Scooter,Economical ,$99 ,3
wspadelli8j@nsu.edu,2517,Electric,GlareWheel EB-NTEC1 Green Commuting Electric Bike/Scooter,GW Electric Scooter,Economical ,$99 ,3
vcawr7@nsu.edu,161,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
ccaldeiropf@nsu.edu,244,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",0
dabelson7x@nsu.edu,363,Electrical Supplies,Samsung Galaxy,S22,Powerful Android,$850 ,5
eovenden5y@nsu.edu,378,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",0
amarkosn0@nsu.edu,795,Electrical Supplies,Apple Watch SE,AW SE,Smart Watch,$229 ,2
bspottiswoodhm@nsu.edu,816,Electrical Supplies,Apple Watch SE,AW SE,Smart Watch,$229 ,3
mlempertz10@yandex.ru,828,Electrical Supplies,Apple Watch SE,AW SE,Smart Watch,$229 ,1
avenablesi@salon.com,843,Electrical Supplies,Apple Watch SE,AW SE,Smart Watch,$229 ,4
wsemechikci@nsu.edu,864,Electrical Supplies,Apple Watch SE,AW SE,Smart Watch,$229 ,5
dgoodenoughgs@nsu.edu,882,Electrical Supplies,Apple Watch SE,AW SE,Smart Watch,$229 ,1
kkiesselhe@nsu.edu,888,Electrical Supplies,Apple Watch Series 6,AW S6,Smart Watch,$289 ,5
rstanwixm3@nsu.edu,903,Electrical Supplies,Apple Watch Series 6,AW S6,Smart Watch,$289 ,0
ehaspineallfb@nsu.edu,906,Electrical Supplies,Apple Watch Series 6,AW S6,Smart Watch,$289 ,3
glibbie7q@nsu.edu,918,Electrical Supplies,Apple Watch Series 6,AW S6,Smart Watch,$289 ,2
emillhill6q@nsu.edu,927,Electrical Supplies,Apple Watch Series 6,AW S6,Smart Watch,$289 ,1
mfairhamf0@nsu.edu,933,Electrical Supplies,Apple Watch Series 7,AW S7,Smart Watch,$420 ,2
jcory4w@nsu.edu,966,Electrical Supplies,Apple Watch Series 7,AW S7,Smart Watch,$420 ,2
feeles4r@nsu.edu,990,Electrical Supplies,Apple Watch Series 7,AW S7,Smart Watch,$420 ,4
lstuddeard7r@nsu.edu,996,Electrical Supplies,AirPods,AirPods pro,Wireless earphones,$199 ,5
rburtwistler8@nsu.edu,999,Electrical Supplies,AirPods,AirPods pro,Wireless earphones,$199 ,0
bmalbonee@nsu.edu,1008,Electrical Supplies,AirPods,AirPods pro,Wireless earphones,$199 ,0
ccaldeiropf@nsu.edu,1032,Electrical Supplies,AirPods,AirPods pro,Wireless earphones,$199 ,2
kmusslewhitedp@nsu.edu,1035,Electrical Supplies,AirPods,AirPods max,Wireless earphones,$250 ,1
edionisiih1@nsu.edu,1071,Electrical Supplies,AirPods,AirPods max,Wireless earphones,$250 ,4
vconquest69@nsu.edu,1104,Electrical Supplies,AirPods,AirPods max,Wireless earphones,$250 ,4
ebullardig@nsu.edu,1107,Electrical Supplies,AirPods,AirPods max,Wireless earphones,$250 ,5
whasnney2b@biblegateway.com,1128,Electrical Supplies,AirPods,AirPods max,Wireless earphones,$250 ,1
mromayniq@nsu.edu,1134,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,1
pstartehp@nsu.edu,1149,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,2
tizzatt4e@nsu.edu,1170,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,1
ctelezhking7@nsu.edu,1176,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,2
dairthno@nsu.edu,1200,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,2
jthwaite4l@nsu.edu,1203,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,1
ebromagei6@nsu.edu,1206,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,3
mtuxell5t@nsu.edu,1209,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,1
ikneesha3v@nsu.edu,1233,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,2
cfridpm@nsu.edu,1257,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,1
mamymo@nsu.edu,1260,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,1
pboundey37@nsu.edu,1263,Electrical Supplies,"Samsung - 75"" Class 8000 Series LED 4K UHD Smart Tizen TV",Samsung Tizen,Smart TV,$750 ,1
pclampettfg@nsu.edu,1269,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,1
gearngycp@nsu.edu,1290,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,2
tgettonei8@nsu.edu,1293,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,2
gpendry79@nsu.edu,1296,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,2
kwilcockesfx@nsu.edu,1299,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,2
kwilcockesfx@nsu.edu,1302,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,3
slittledike1a@dyndns.org,1305,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,3
rdellenbroker6c@nsu.edu,1311,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,3
ltortispi@nsu.edu,1335,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,1
ecortingq@nsu.edu,1347,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,1
ecortingq@nsu.edu,1350,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,3
nrideoutmi@nsu.edu,1353,Electrical Supplies,"Insignia? - 65"" Class F30 Series LED 4K UHD Smart Fire TV",Insignia Fire,Smart TV,$550 ,2
wlaurancegt@nsu.edu,1368,Electrical Supplies,"LG - 55"" Class NanoCell 90 Series LED 4K UHD Smart webOS TV",LG Nanocell,Smart TV,$399 ,2
jspraggon8f@nsu.edu,1404,Electrical Supplies,"LG - 55"" Class NanoCell 90 Series LED 4K UHD Smart webOS TV",LG Nanocell,Smart TV,$399 ,2
jkasman1i@histats.com,1407,Electrical Supplies,"LG - 55"" Class NanoCell 90 Series LED 4K UHD Smart webOS TV",LG Nanocell,Smart TV,$399 ,1
vcawr7@nsu.edu,1877,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
ccaldeiropf@nsu.edu,2033,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
dabelson7x@nsu.edu,2117,Electrical Supplies,Samsung Galaxy,S23,Powerful Android,$850 ,5
eovenden5y@nsu.edu,2157,Electrical Supplies,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",1
amarkosn0@nsu.edu,2577,Electrical Supplies,Apple Watch SE,AW SE,Smart Watch,$229 ,2
jkasman1i@histats.com,762,Exercise & Fitness,Costway Boxing Punching Bag w/Height Adjustable Stand Boxing Gloves,CB Punching Bag and Gloves,Game on!,$280 ,4
jkasman1i@histats.com,2533,Exercise & Fitness,Costway Boxing Punching Bag w/Height Adjustable Stand Boxing Gloves,CB Punching Bag and Gloves,Game on!,$280 ,4
bdeavenell7o@nsu.edu,783,Face,Unseen Sunscreen SPF 40 PA+++,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,1
tappleton2n@delicious.com,804,Face,Unseen Sunscreen SPF 40 PA+++,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,2
gmosconegr@nsu.edu,819,Face,Unseen Sunscreen SPF 40 PA+++,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,3
pslidders4f@nsu.edu,837,Face,Satin and Lace Bathrobe,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,4
atorrejon3c@nsu.edu,852,Face,Waffled Bathrobe,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,5
ihannondki@nsu.edu,876,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,3
rcayton5r@nsu.edu,897,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,0
hleroy7s@nsu.edu,945,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,2
dbrigstocko2@nsu.edu,948,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,3
jcarvil9@economist.com,957,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,4
rkorneichikbg@nsu.edu,972,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,1
lcuffehv@nsu.edu,1089,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,5
jberntjd@nsu.edu,1098,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,5
abithellon@nsu.edu,1188,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,4
cpennettalf@nsu.edu,1248,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,1
zcornillibb@nsu.edu,1287,Face,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,2
tpollock7j@nsu.edu,1308,Face,Unseen Sunscreen SPF 40 PA+++,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,4
bdeavenell7o@nsu.edu,2561,Face,Unseen Sunscreen SPF 40 PA+++,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,1
tappleton2n@delicious.com,2589,Face,Unseen Sunscreen SPF 40 PA+++,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,2
kfeeney30@nsu.edu,771,Grocery,Farmland Fully Cooked Diced Ham,Diced Ham,Fully Cooked Ham,$12 ,1
kfeeney30@nsu.edu,2545,Grocery,Farmland Fully Cooked Diced Ham,Diced Ham,Fully Cooked Ham,$12 ,1
nrideoutmi@nsu.edu,711,Health Care,Luden's Deliciously Soothing Throat Drops,Luden's Throat Drops,Soothing,$2 ,5
nrideoutmi@nsu.edu,2465,Health Care,Luden's Deliciously Soothing Throat Drops,Luden's Throat Drops,Soothing,$2 ,5
gnorecb@nsu.edu,936,High Cabinets,"High cabinet with shelves/2 doors, white/Hggeby white",Ikea WC - Haggeby White,Cabinets,$80 ,3
rgoulbornegn@nsu.edu,939,High Cabinets,"High cabinet with shelves/2 doors, white/Hggeby white",Ikea WC - Haggeby White,Cabinets,$80 ,2
pkirklandrq@nsu.edu,969,High Cabinets,"High cabinet with shelves/2 doors, white/Hggeby white",Ikea WC - Haggeby White,Cabinets,$80 ,3
bmaclaverty2v@nsu.edu,993,High Cabinets,"High cabinet with shelves/2 doors, white/Hggeby white",Ikea WC - Haggeby White,Cabinets,$80 ,1
cmaxted8c@nsu.edu,768,Indoor & Live Plants,Zen Peace Lily Plant - Spathyphyllium - Great House Plant,Lily Plant,House Plant,$12 ,3
cmaxted8c@nsu.edu,2541,Indoor & Live Plants,Zen Peace Lily Plant - Spathyphyllium - Great House Plant,Lily Plant,House Plant,$12 ,3
dnaughton9f@nsu.edu,260,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
mlempertz10@yandex.ru,376,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
glibbie7q@nsu.edu,77,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
mfairhamf0@nsu.edu,299,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",2
jcarvil9@economist.com,199,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
oreppaportr0@nsu.edu,57,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",0
lcootesj9@nsu.edu,223,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
mromayniq@nsu.edu,625,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
shaydones@nsu.edu,132,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
abithellon@nsu.edu,391,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
oflahiveif@nsu.edu,55,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
oflahiveif@nsu.edu,90,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
mamymo@nsu.edu,16,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
dnaughton9f@nsu.edu,1645,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
mlempertz10@yandex.ru,1761,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
glibbie7q@nsu.edu,1885,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
mfairhamf0@nsu.edu,1901,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",2
jcarvil9@economist.com,1933,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
oreppaportr0@nsu.edu,2029,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
lcootesj9@nsu.edu,2089,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
mromayniq@nsu.edu,2165,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
shaydones@nsu.edu,2201,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",4
abithellon@nsu.edu,2241,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
oflahiveif@nsu.edu,2285,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
oflahiveif@nsu.edu,2293,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
mamymo@nsu.edu,2337,Iphone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",3
ndutchburnel@nsu.edu,714,Kidkraft Bancroft Wooden Playhouse,Kid Kraft WP,KK BC Wooden Playhouse,Kid's toys,$80 ,2
ndutchburnel@nsu.edu,2469,Kidkraft Bancroft Wooden Playhouse,Kid Kraft WP,KK BC Wooden Playhouse,Kid's toys,$80 ,2
mbuesdennk@nsu.edu,253,Kitchen & Appliances,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
iciobotarujm@nsu.edu,158,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
mickowics63@nsu.edu,103,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,4
fjacquemypl@nsu.edu,316,Kitchen & Appliances,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
bparkenl7@nsu.edu,231,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,2
psarfat78@nsu.edu,63,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,0
cpennettalf@nsu.edu,131,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,0
strenamanhu@nsu.edu,11,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,1
ltortispi@nsu.edu,17,Kitchen & Appliances,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
cmcallof@nsu.edu,846,Kitchen & Appliances,"Wall cabinet w glass door/2 drawers, white/Torhamn ash",Ikea WC - White,Cabinets,$80 ,1
jboultwoodre@nsu.edu,963,Kitchen & Appliances,"High cabinet with shelves/2 doors, white/Hggeby white",Ikea WC - Haggeby White,Cabinets,$80 ,3
fdeans6l@nsu.edu,1005,Kitchen & Appliances,"Sink, black quartz composite",Black quartz Sink,Sinks,$99 ,0
cgabeyeb@nsu.edu,1014,Kitchen & Appliances,"Sink, black quartz composite",Black quartz Sink,Sinks,$99 ,5
dlawteye2@nsu.edu,1017,Kitchen & Appliances,"Sink, black quartz composite",Black quartz Sink,Sinks,$99 ,5
msprackling43@nsu.edu,1041,Kitchen & Appliances,"Sink, black quartz composite",Black quartz Sink,Sinks,$99 ,3
gmackall4z@nsu.edu,1062,Kitchen & Appliances,"Sink, black quartz composite",Black quartz Sink,Sinks,$99 ,2
dgurge15@jimdo.com,1110,Kitchen & Appliances,"Apron front sink, white",White Apron Sink,Sinks,$99 ,1
eorrick96@nsu.edu,1116,Kitchen & Appliances,"Apron front sink, white",White Apron Sink,Sinks,$99 ,0
gechalieh4@nsu.edu,1152,Kitchen & Appliances,"Apron front sink, white",White Apron Sink,Sinks,$99 ,5
shaydones@nsu.edu,1158,Kitchen & Appliances,"Apron front sink, white",White Apron Sink,Sinks,$99 ,3
lcicchinellib5@nsu.edu,1161,Kitchen & Appliances,"Apron front sink, white",White Apron Sink,Sinks,$99 ,2
elyfecx@nsu.edu,1179,Kitchen & Appliances,Double bowl top mount sink,Top Mount Sink,Sinks,$99 ,4
cdiffley5w@nsu.edu,1191,Kitchen & Appliances,Double bowl top mount sink,Top Mount Sink,Sinks,$99 ,1
nscougallba@nsu.edu,1194,Kitchen & Appliances,Double bowl top mount sink,Top Mount Sink,Sinks,$99 ,1
hjehaes86@nsu.edu,1215,Kitchen & Appliances,Double bowl top mount sink,Top Mount Sink,Sinks,$99 ,5
kbennike0@merriam-webster.com,1230,Kitchen & Appliances,Double bowl top mount sink,Top Mount Sink,Sinks,$99 ,4
mbuddenqw@nsu.edu,1275,Kitchen & Appliances,Kitchen faucet with handspray,KF with HS,Faucets,$380 ,1
tlinebargerh@flickr.com,1326,Kitchen & Appliances,Kitchen faucet with handspray,KF with HS,Faucets,$380 ,1
wfranzenct@nsu.edu,1341,Kitchen & Appliances,Dual control kitchen faucet,DCKF,Faucets,$240 ,1
wlaurancegt@nsu.edu,1362,Kitchen & Appliances,Dual control kitchen faucet,DCKF,Faucets,$240 ,3
ghalvorsen95@nsu.edu,1380,Kitchen & Appliances,Dual control kitchen faucet,DCKF,Faucets,$240 ,4
wspadelli8j@nsu.edu,1392,Kitchen & Appliances,Kitchen faucet w sensor,KF with Sensor,Faucets,$600 ,4
mbuesdennk@nsu.edu,1849,Kitchen & Appliances,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,2
iciobotarujm@nsu.edu,1897,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
mickowics63@nsu.edu,2017,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,4
fjacquemypl@nsu.edu,2081,Kitchen & Appliances,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
bparkenl7@nsu.edu,2101,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,2
psarfat78@nsu.edu,2149,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,5
cpennettalf@nsu.edu,2321,Kitchen & Appliances,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
